matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status
BOS @ DET,DET,0.4656,0.527,0.527,0.527,0.5529,1564.0,,,,GOLD,F3_swing_take_gap=2421.4,tier GOLD -> stake_mult=0,no_api_key
TOR @ TB,TB,0.4117,0.5793,0.5793,0.5793,0.6251,1464.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
OAK @ PHI,PHI,0.4755,0.6362,0.6362,0.6362,0.6412,0.0,,,,GOLD,F1_xera_gap=1.70*,tier GOLD -> stake_mult=0,no_api_key
BAL @ MIA,MIA,0.3798,0.5973,0.5973,0.5973,0.6229,1781.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
MIN @ WSH,WSH,0.4682,0.5276,0.5276,0.5276,0.4903,1966.0,,,,GOLD,F3_swing_take_gap=860.4,tier GOLD -> stake_mult=0,no_api_key
TEX @ NYY,NYY,0.5294,0.6383,0.6383,0.6383,0.6563,1717.0,,,,GOLD,F3_swing_take_gap=4894.9,tier GOLD -> stake_mult=0,no_api_key
CIN @ CHC,CHC,0.6155,0.6473,0.6473,0.6473,0.6563,1697.0,,,,GOLD,F3_swing_take_gap=987.2,tier GOLD -> stake_mult=0,no_api_key
CLE @ KC,CLE,0.5011,0.4807,0.5193,0.5193,0.5313,1881.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
MIL @ STL,STL,0.4691,0.6032,0.6032,0.6032,0.6022,1665.0,,,,GOLD,F3_swing_take_gap=884.7,tier GOLD -> stake_mult=0,no_api_key
LAD @ HOU,HOU,0.2631,0.5347,0.5347,0.5347,0.5915,1571.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
NYM @ COL,COL,0.4609,0.6803,0.6803,0.6803,0.6563,1881.0,,,,GOLD,F3_swing_take_gap=756.9,tier GOLD -> stake_mult=0,no_api_key
CHW @ LAA,LAA,0.7812,0.6383,0.6383,0.6383,0.6563,0.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
PIT @ ARI,ARI,0.6027,0.6563,0.6563,0.6563,0.6563,0.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
ATL @ SEA,ATL,0.4827,0.4417,0.5583,0.5583,0.5313,1559.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
SD @ SF,SD,0.6426,0.3477,0.6523,0.6523,0.6343,1791.0,,,,SKIP,,tier SKIP -> stake_mult=0,no_api_key
