matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
DET @ CHW,CHW,0.4814,0.7013,0.2199,0.7013,0.7013,0.6226,2480.0,0.4488,25.25,0.5219,0.25,0.1115,0.0558,0.0,0.0,1.248,1.13,-0.0005,0.11,16.54,18.49,Anthony Kay,Framber Valdez,SKIP,,"edge +25.25pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"SP edge 1.29 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-14.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.10) (+1) | [HARD CAP 6] edge_pp=+25.2pp>25.0 is calibrator hallucination range, not real value (score -2 -> 0) | [PRE_CAP_SCORE=-2]",-2,D,-14.110323353021286,1,[],[],[],[]
SD @ WSH,WSH,0.5228,0.6593,0.1365,0.6593,0.6593,0.6563,3127.0,0.4517,20.77,0.4176,0.125,0.0454,0.0227,0.0,0.0,1.391,1.248,-0.0232,0.103,23.13,24.8,Foster Griffin,Michael King,SKIP,,"edge +20.77pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-2,SP edge 0.51 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-10.3) (-1) | Stage 1/2 agree (Δ=0.07) (+1),-2,D,-10.276587467640503,0,[],[],[],[]
KC @ TEX,TEX,0.4808,0.6503,0.1696,0.6503,0.6503,0.6563,2331.0,0.5367,11.36,0.2159,0.2482,0.0621,0.031,0.0,0.0,1.219,1.062,0.0028,0.1106,19.44,19.73,Kumar Rocker,Seth Lugo,GOLD,"F1_xera_gap=0.79*, F3_swing_take_gap=1780.6",tier GOLD -> stake_mult=0,fetched,,False,,,B-,1,"F-signal fires (+1) | SP edge 0.61 xERA agrees with pick (+2) | PQI confirms pick (Δ=+7.5) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0028 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,7.549222921490589,1,[],[],[],[]
TOR @ BAL,BAL,0.2569,0.5077,0.2508,0.5077,0.5077,0.4747,2662.0,0.4575,5.02,0.0915,0.0796,0.0199,0.0099,0.0,0.0,0.975,1.115,-0.0112,0.1001,17.15,25.67,Brandon Young,Trey Yesavage,GOLD,F3_swing_take_gap=4046.0,tier GOLD -> stake_mult=0,fetched,,False,,,D,-1,"F-signal fires (+1) | SP edge 2.26 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-25.8) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",-1,D,-25.81812931743655,-1,[],[],[],[]
MIN @ PIT,PIT,0.5822,0.5483,0.0339,0.5483,0.5483,0.5186,3067.0,0.5727,-2.44,-0.0299,0.0,0.0,0.0,0.0,0.0,1.25,0.949,-0.0009,0.1032,18.38,16.49,Mitch Keller,Bailey Ober,GOLD,F3_swing_take_gap=4077.8,"edge -2.44pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 0.47 xERA AGAINST pick (-2) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.512 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-0.055329951317979464,0,[],[],[],[]
BOS @ CLE,CLE,0.7099,0.5227,0.1872,0.5227,0.5227,0.5303,3026.0,0.5676,-4.5,-0.0592,0.0,0.0,0.0,0.0,0.0,1.239,1.052,0.0098,0.1018,28.04,21.03,Parker Messick,Sonny Gray,PLATINUM,"F1_xera_gap=1.85*, F3_swing_take_gap=1456.6, F5_bullpen_gap=+0.79","edge -4.50pp outside [4,15]pp",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | SP edge 1.19 xERA agrees with pick (+2) | PQI confirms pick (Δ=+14.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | [HARD CAP 1] negative-edge GOLD (-4.5pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.509 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,14.109852797542146,1,[],[],[],[]
LAA @ TB,TB,0.4132,0.5462,0.133,0.5462,0.5462,0.5609,2236.0,0.6035,-5.73,-0.0665,0.0,0.0,0.0,0.0,0.0,1.23,1.306,-0.0036,0.0954,23.39,27.96,Drew Rasmussen,Reid Detmers,SKIP,,"edge -5.73pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True,,,C,0,"team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.512 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,1.0584356910501853,1,[],[],[],[]
MIA @ NYM,MIA,0.5078,0.4687,0.0391,0.5313,0.5313,0.5313,2801.0,0.4447,8.67,0.1689,0.1407,0.0352,0.0176,0.0,0.0,1.219,1.437,-0.0018,0.0925,24.71,22.14,Christian Scott,Tyler Phillips,GOLD,F3_swing_take_gap=3226.0,tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.87 xERA agrees with pick (+2) | PQI confirms pick (Δ=-11.9) (+1) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 8] bottom-bucket marginal-favorite (pick_prob=0.510 in (0.50, 0.52], edge_pp=+8.7pp <= +12) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.510 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,-11.871925024514297,0,[],[],[],[]
MIL @ HOU,MIL,0.6371,0.4949,0.1421,0.5051,0.5051,0.4772,2058.0,0.5148,-0.97,-0.0184,0.0,0.0,0.0,0.0,0.0,1.279,1.195,-0.0003,0.1048,23.1,25.12,Peter Lambert,Brandon Sproat,SKIP,,"edge -0.97pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-2,"SP edge 1.05 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+9.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1)",-2,D,9.072428890546426,1,[],[],[],[]
CHC @ STL,CHC,0.1582,0.4885,0.3303,0.5115,0.5115,0.5124,2916.0,0.5676,-5.62,-0.0794,0.0,0.0,0.0,0.0,0.0,1.253,1.105,-0.0023,0.1057,18.34,25.8,Kyle Leahy,Ben Brown,GOLD,F1_xera_gap=4.09,"edge -5.62pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | SP edge 3.44 xERA agrees with pick (+2) | PQI confirms pick (Δ=-40.1) (+1) | Stage 1/2 disagree (Δ=0.27) (-1) | [HARD CAP 1] negative-edge GOLD (-5.6pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.508 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-40.142551726018844,0,[],[],[],[]
