game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc
2026-05-31,BAL,TOR,8.5,9.02,0.52,over,2.01,0.4885,0.4781,0.0,pinnacle,9.02,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.332,""lineup_xwoba_a"":0.314,""lineup_wrcplus_h"":109.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,WSH,SD,9.0,9.39,0.39,over,1.87,0.5282,0.5204,0.0,pinnacle,9.39,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.342,""lineup_xwoba_a"":0.322,""lineup_wrcplus_h"":115.0,""lineup_wrcplus_a"":102.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,PIT,MIN,7.5,8.65,1.15,over,1.971,0.5121,0.4891,0.19,pinnacle,8.65,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.327,""lineup_xwoba_a"":0.302,""lineup_wrcplus_h"":111.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,CLE,BOS,7.5,8.16,0.66,over,2.05,0.4795,0.4662,0.0,pinnacle,8.16,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.342,""lineup_xwoba_a"":0.311,""lineup_wrcplus_h"":115.0,""lineup_wrcplus_a"":111.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,TB,LAA,8.0,8.88,0.88,over,1.935,0.5177,0.5,0.03,pinnacle,8.88,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.325,""lineup_xwoba_a"":0.336,""lineup_wrcplus_h"":117.0,""lineup_wrcplus_a"":108.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,CIN,ATL,8.5,9.15,0.65,over,1.862,0.5377,0.5246,0.03,pinnacle,9.15,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.341,""lineup_xwoba_a"":0.321,""lineup_wrcplus_h"":119.0,""lineup_wrcplus_a"":116.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,NYM,MIA,7.5,8.28,0.78,over,1.952,0.51,0.4945,0.0,pinnacle,8.28,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.328,""lineup_xwoba_a"":0.303,""lineup_wrcplus_h"":100.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,CHW,DET,8.0,8.48,0.48,over,1.99,0.4932,0.4836,0.0,pinnacle,8.48,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.337,""lineup_xwoba_a"":0.321,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":102.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,HOU,MIL,7.5,9.12,1.62,over,1.962,0.5243,0.4918,0.59,pinnacle,9.12,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.324,""lineup_xwoba_a"":0.329,""lineup_wrcplus_h"":117.0,""lineup_wrcplus_a"":124.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-31,TEX,KC,7.5,8.45,0.95,over,1.901,0.53,0.5109,0.17,pinnacle,8.45,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.333,""lineup_xwoba_a"":0.308,""lineup_wrcplus_h"":109.0,""lineup_wrcplus_a"":101.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
