game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
824414,PIT @ CLE,False,False,668909,683003.0,668909,683003,577468.0,Roberto Ortiz,0.0,False,False,2.02,1.9803921568627452,99,1,1,Tim Herrin,Endy Rodríguez,0,0,0,0,0.0,0,home 1 IL placement(s) (Tim Herrin) -> -1.20pp | away 1 IL placement(s) (Endy Rodríguez) -> +1.20pp,il_placement_home;il_placement_away
824412,PIT @ CLE,False,False,671106,,671106,682254,427554.0,Jim Wolf,0.0,False,False,2.02,1.9803921568627452,99,1,1,Tim Herrin,Endy Rodríguez,0,0,0,0,0.015,0,home 1 IL placement(s) (Tim Herrin) -> -1.20pp | away 1 IL placement(s) (Endy Rodríguez) -> +1.20pp | sharp move +99bps confirms model side -> +1.5pp,il_placement_home;il_placement_away;line_move_strong
824657,MIN @ CHC,False,False,571510,671737.0,571510,671737,608158.0,Nate Tomlinson,0.0,False,False,1.7692307692307692,1.0101010101010102,4248,0,3,,"Marco Raya, Connor Prielipp, Mick Abel",0,0,0,0,0.024,0,"away 3 IL placement(s) (Marco Raya, Connor Prielipp, Mick Abel) -> +2.40pp",il_placement_away
823441,NYM @ PHI,False,False,666200,640455.0,666200,640455,644760.0,Adam Beck,0.0,False,False,1.65359477124183,1.0152276534186082,3803,3,2,"Lou Trivino III, Tanner Banks, Brad Keller","Austin Warren, Mark Vientos",0,0,0,0,-0.005999999999999998,0,"home 3 IL placement(s) (Lou Trivino III, Tanner Banks, Brad Keller) -> -2.40pp | away 2 IL placement(s) (Austin Warren, Mark Vientos) -> +1.80pp",il_placement_home;il_placement_away
822790,CHW @ TOR,False,False,669456,663436.0,669456,663436,484499.0,Manny Gonzalez,0.0,False,False,2.06,1.3984063745019921,2297,0,0,,,0,0,0,0,0.015,0,sharp move +2297bps confirms model side -> +1.5pp,line_move_strong
824331,CIN @ COL,False,False,608372,695076.0,608372,695076,427164.0,Andy Fletcher,0.0,False,False,2.06,1.0050251256281406,5096,1,2,Jeff Criswell,"Matt McLain, Nick Lodolo",0,0,0,0,0.006000000000000002,0,"home 1 IL placement(s) (Jeff Criswell) -> -1.20pp | away 2 IL placement(s) (Matt McLain, Nick Lodolo) -> +1.80pp",il_placement_home;il_placement_away
824169,BAL @ HOU,False,False,681293,669432.0,681293,669432,427366.0,Brian O'Nora,0.0,False,False,1.9803921568627452,2.35,-794,1,0,Brice Matthews,,0,0,0,0,-0.012,0,home 1 IL placement(s) (Brice Matthews) -> -1.20pp,il_placement_home
824088,SD @ KC,False,False,677976,656288.0,677976,656288,691042.0,Willie Traynor,0.0,False,False,2.06,1.378787878787879,2398,0,1,,Samad Taylor,0,0,0,0,0.012,0,away 1 IL placement(s) (Samad Taylor) -> +1.20pp,il_placement_away
825059,STL @ ARI,False,False,694297,669160.0,694297,669160,665281.0,Brian Walsh,0.0,False,False,1.900900900900901,1.0695410292072323,4089,0,1,,JoJo Romero,0,0,0,0,0.027,0,away 1 IL placement(s) (JoJo Romero) -> +1.20pp | sharp move +4089bps confirms model side -> +1.5pp,il_placement_away;line_move_strong
824738,TB @ BOS,False,False,663776,693855.0,663776,693855,623946.0,Malachi Moore,0.0,False,False,1.9433962264150944,1.900900900900901,115,1,0,Ranger Suarez,,0,0,0,0,0.002999999999999999,0,home 1 IL placement(s) (Ranger Suarez) -> -1.20pp | sharp move +115bps confirms model side -> +1.5pp,il_placement_home;line_move_strong
824899,TEX @ ATL,False,False,702566,669022.0,702566,669022,521251.0,Ben May,0.0,False,False,1.9433962264150944,1.273972602739726,2704,1,1,Mike Yastrzemski,Chris Martin,0,0,0,0,0.015,0,home 1 IL placement(s) (Mike Yastrzemski) -> -1.20pp | away 1 IL placement(s) (Chris Martin) -> +1.20pp | sharp move +2704bps confirms model side -> +1.5pp,il_placement_home;il_placement_away;line_move_strong
