matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
DET @ CHW,CHW,0.4623,0.7013,0.2391,0.7013,0.7013,0.6288,2504.0,0.4682,23.31,0.4798,0.125,0.05405,0.027,0.0,0.0,1.276,1.113,0.001,0.1093,16.54,18.49,Anthony Kay,Framber Valdez,SKIP,,"edge +23.31pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-3,"SP edge 1.29 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-14.1) (-1) | team_quality modifier (+1; DISABLED, score+=0)",-3,D,-14.110323353021283,1,[],[],[],[]
SD @ WSH,WSH,0.5228,0.6593,0.1365,0.6593,0.6593,0.6563,3055.0,0.4517,20.77,0.4176,0.125,0.0454,0.0227,0.0,0.0,1.446,1.153,-0.0239,0.1028,23.13,24.8,Foster Griffin,Michael King,SKIP,,"edge +20.77pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-2,SP edge 0.51 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-10.3) (-1) | Stage 1/2 agree (Δ=0.07) (+1),-2,D,-10.252464660622962,0,[],[],[],[]
KC @ TEX,TEX,0.4808,0.6503,0.1696,0.6503,0.6503,0.6563,2371.0,0.54,11.03,0.2259,0.25,0.0638,0.0319,0.0,0.0,1.237,0.994,0.0019,0.1085,19.44,19.73,Kumar Rocker,Seth Lugo,GOLD,"F1_xera_gap=0.79*, F3_swing_take_gap=1478.9",tier GOLD -> stake_mult=0,fetched,,False,,,B-,1,"F-signal fires (+1) | SP edge 0.61 xERA agrees with pick (+2) | PQI confirms pick (Δ=+7.5) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0019 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,7.549222921490568,1,[],[],[],[]
TOR @ BAL,BAL,0.2569,0.5077,0.2508,0.5077,0.5077,0.4687,2672.0,0.4575,5.02,0.0915,0.0796,0.0199,0.0099,0.0,0.0,1.068,0.944,-0.0117,0.1006,17.15,25.67,Brandon Young,Trey Yesavage,GOLD,F3_swing_take_gap=4190.7,tier GOLD -> stake_mult=0,fetched,,False,,,D,-1,"F-signal fires (+1) | SP edge 2.27 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-25.9) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",-1,D,-25.94678428819678,-1,[],[],[],[]
MIN @ PIT,PIT,0.5822,0.5833,0.001,0.5833,0.5833,0.5338,3151.0,0.5794,0.39,0.0319,0.0415,0.0104,0.0052,0.0,0.0,1.307,0.971,0.0012,0.1048,18.38,16.49,Mitch Keller,Bailey Ober,GOLD,F3_swing_take_gap=4448.5,"edge +0.39pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | SP edge 0.47 xERA AGAINST pick (-2) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-0.031207144300431366,0,[],[],[],[]
BOS @ CLE,BOS,0.7099,0.4914,0.2185,0.5086,0.5086,0.49,2760.0,0.4324,7.62,0.1444,0.1155,0.0289,0.0144,0.0,0.0,1.199,1.089,0.0104,0.1015,28.04,21.03,Parker Messick,Sonny Gray,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-3,"SP edge 1.22 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+14.5) (-1) | team_quality modifier (-1; DISABLED, score+=0)",-3,D,14.54406332385794,-1,[],[],[],[]
LAA @ TB,TB,0.4026,0.588,0.1854,0.588,0.588,0.5815,2291.0,0.6083,-2.03,-0.0119,0.0,0.0,0.0,0.0,0.0,1.268,1.255,-0.002,0.0965,23.39,27.96,Drew Rasmussen,Reid Detmers,SKIP,,"edge -2.03pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster,True,,,C,0,"team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.535 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,1.0584356910501782,1,[],[],[],[]
MIA @ NYM,MIA,0.5078,0.4235,0.0843,0.5765,0.5765,0.5649,2837.0,0.4392,13.73,0.2683,0.2236,0.0559,0.0279,0.0,0.0,1.271,1.318,-0.0015,0.0946,24.71,22.14,Christian Scott,Tyler Phillips,GOLD,F3_swing_take_gap=3264.2,tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.87 xERA agrees with pick (+2) | PQI confirms pick (Δ=-11.8) (+1) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,-11.847802217496742,0,[],[],[],[]
MIL @ HOU,HOU,0.6437,0.5826,0.0611,0.5826,0.5826,0.6066,2104.0,0.4823,10.03,0.2001,0.1888,0.0472,0.0236,0.0,0.0,1.191,1.221,-0.0015,0.1026,23.1,25.12,Peter Lambert,Brandon Sproat,GOLD,"F1_xera_gap=1.05*, F3_swing_take_gap=3717.0",tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,,,C,0,"F-signal fires (+1) | SP edge 1.05 xERA agrees with pick (+2) | PQI confirms pick (Δ=+9.0) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.531 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,9.048306083528885,-1,[],[],[],[]
CHC @ STL,CHC,0.1582,0.4747,0.3165,0.5253,0.5253,0.5126,2955.0,0.5794,-5.41,-0.0706,0.0,0.0,0.0,0.0,0.0,1.408,1.052,-0.0028,0.1081,18.34,25.8,Kyle Leahy,Ben Brown,GOLD,F1_xera_gap=4.09,"edge -5.41pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 3.45 xERA agrees with pick (+2) | PQI confirms pick (Δ=-40.1) (+1) | Stage 1/2 disagree (Δ=0.27) (-1) | [HARD CAP 1] negative-edge GOLD (-5.4pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.510 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-40.05088505935218,0,[],[],[],[]
