matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
TOR @ SF,SF,0.3331,0.5965,0.2634,0.5965,0.5965,0.5888,19193.0,0.4682,12.83,0.2586,0.233,0.0583,0.0291,0.0,0.0,1.026,1.047,0.0061,0.1013,20.37,36.04,Logan Webb,Dylan Cease,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,SP edge 1.10 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-19.5) (-1) | Stage 1/2 agree (Δ=0.04) (+1),-2,D,-19.54576160418359,0,[],[],[],[]
CHC @ BAL,CHC,0.5177,0.4983,0.0194,0.5017,0.5017,0.4949,13879.0,0.4575,4.41,0.0786,0.0683,0.0171,0.0085,0.0,0.0,0.967,1.108,0.0136,0.0986,25.14,17.48,Dean Kremer,Colin Rea,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+27.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.526 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,27.1235542727555,1,[],[],[],[]
OAK @ DET,DET,0.7251,0.6623,0.0628,0.6623,0.6623,0.6563,15078.0,0.6202,4.22,0.0952,0.1457,0.0364,0.0182,0.0,0.0,1.061,1.212,0.0044,0.0985,19.97,20.19,Troy Melton,Jeffrey Springs,GOLD,"F1_xera_gap=1.40*, F3_swing_take_gap=1890.7",tier GOLD -> stake_mult=0,fetched,,False,,,B-,1,"F-signal fires (+1) | SP edge 1.54 xERA agrees with pick (+2) | PQI confirms pick (Δ=+15.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0044 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,15.86769890017294,1,[],[],[],[]
ATL @ PIT,PIT,0.5781,0.5562,0.0219,0.5562,0.5562,0.5419,18564.0,0.5244,3.18,0.0573,0.0636,0.0159,0.0079,0.0,0.0,1.183,1.191,-0.0152,0.0974,23.69,19.89,Jared Jones,Grant Holmes,SKIP,F3_swing_take_gap=1414.7,"edge +3.18pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,C,0,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-1.4013704344359752,1,[],[],[],[]
SEA @ MIA,MIA,0.2162,0.5078,0.2916,0.5078,0.5078,0.5619,16151.0,0.4447,6.31,0.1171,0.0976,0.0244,0.0122,0.0,0.0,1.11,1.252,-0.0159,0.1014,17.82,20.7,Tyler Phillips,George Kirby,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True,,,D,-4,SP edge 1.09 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-13.2) (-1) | Stage 1/2 disagree (Δ=0.13) (-1),-4,D,-13.224583466193437,0,[],[],[],[]
NYY @ TB,NYY,0.6264,0.4745,0.1519,0.5255,0.5255,0.5313,17701.0,0.4447,8.09,0.1561,0.1301,0.0325,0.0163,0.0,0.0,1.18,1.208,-0.0171,0.1005,22.95,23.51,Shane McClanahan,Gerrit Cole,GOLD,"F1_xera_gap=1.06*, F5_bullpen_gap=+0.61",tier GOLD -> stake_mult=0,fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.94 xERA agrees with pick (+2) | PQI confirms pick (Δ=-13.5) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,-13.521091815216103,-1,[],[],[],[]
HOU @ WSH,WSH,0.6409,0.5133,0.1275,0.5133,0.5133,0.4956,19277.0,0.5676,-5.43,-0.076,0.0,0.0,0.0,0.0,0.0,1.399,1.518,-0.0437,0.1005,23.76,23.8,Foster Griffin,Spencer Arrighetti,SKIP,,"edge -5.43pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"SP edge 0.69 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 1] negative-edge GOLD (-5.4pp < 0) prevents GOLD confirmation (score 4 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.527 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=4]",4,A-,8.840226161008509,1,[],[],[],[]
KC @ NYM,KC,0.4582,0.3258,0.1325,0.6742,0.6742,0.605,16493.0,0.4159,25.83,0.5507,0.25,0.1059,0.053,0.0,0.0,1.255,1.002,0.016,0.099,28.04,26.98,Christian Scott,Steven Cruz,SKIP,F3_swing_take_gap=1478.3,"fair_prob 0.416 < 0.42 | edge +25.83pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 0.76 xERA agrees with pick (+2) | PQI confirms pick (Δ=-9.0) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 6] edge_pp=+25.8pp>25.0 is calibrator hallucination range, not real value (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,-9.006442270774215,0,[],[],[],[]
CLE @ MIN,MIN,0.6848,0.6383,0.0465,0.6383,0.6383,0.6486,17287.0,0.5512,8.72,0.1703,0.2043,0.0511,0.0255,0.0,0.0,1.022,0.96,-0.0251,0.0926,23.72,17.52,Connor Prielipp,Slade Cecconi,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,B,2,"SP edge 0.45 xERA agrees with pick (+2) | PQI AGAINST (late-game-degradation) pick (Δ=-3.6) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1)",2,B,-3.6384486215630005,1,[],[],[],[]
BOS @ CHW,BOS,0.4923,0.4807,0.0116,0.5193,0.5193,0.5313,16559.0,0.4823,3.7,0.0698,0.0658,0.0165,0.0082,0.0,0.0,1.27,1.084,-0.0304,0.1044,22.67,20.51,Davis Martin,Jake Bennett,PLATINUM,"F3_swing_take_gap=7015.2, F5_bullpen_gap=+0.64","edge +3.70pp outside [4,15]pp",fetched,,False,,,C,0,"F-signal fires (+1) | SP edge 1.28 xERA agrees with pick (+2) | PQI confirms pick (Δ=-20.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.528 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,-20.593537405832336,1,[],[],[],[]
