date,matchup,cap,pre_cap_grade,grade,verdict,delta_unit_$,pct_of_actual_bk
2026-05-14,SEA @ HOU,[HARD CAP 6],A,C,LOSS,-135.92,-13.592
2026-05-14,KC @ CHW,[HARD CAP 1],A-,B-,LOSS,-0.0,-0.0
2026-05-15,PHI @ PIT,[HARD CAP 1],A-,B-,LOSS,-0.0,-0.0
2026-05-15,TOR @ DET,[HARD CAP 1],B+,B-,LOSS,-0.0,-0.0
2026-05-15,NYY @ NYM,[HARD CAP 1],A-,B-,WIN,0.0,0.0
2026-05-15,SD @ SEA,[HARD CAP 1],A-,B-,LOSS,-0.0,-0.0
2026-05-16,CIN @ CLE,[HARD CAP 1],A-,B-,WIN,0.0,0.0
2026-05-18,BAL @ TB,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-18,TOR @ NYY,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-18,MIL @ CHC,[HARD CAP 1],A-,B-,LOSS,-0.0,-0.0
2026-05-20,HOU @ MIN,[HARD CAP 7],A,C,WIN,0.0,0.0
2026-05-20,ATL @ MIA,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-20,BOS @ KC,[HARD CAP 1],A-,B-,LOSS,-0.0,-0.0
2026-05-20,LAD @ SD,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-21,TOR @ NYY,[HARD CAP 1],B+,B-,LOSS,-0.0,-0.0
2026-05-21,COL @ ARI,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-25,CHC @ PIT,[HARD CAP 8],A,C,LOSS,-12.08,-1.208
2026-05-25,STL @ MIL,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-25,NYY @ KC,[HARD CAP 1],A,C,WIN,0.48,0.048
2026-05-25,WSH @ CLE,[HARD CAP 7],A,B-,LOSS,-44.16,-4.416
2026-05-25,PHI @ SD,[HARD CAP 1],A-,C,WIN,0.0,0.0
2026-05-25,HOU @ TEX,[HARD CAP 1],B+,C,LOSS,-2.16,-0.216
2026-05-25,COL @ LAD,[HARD CAP 1],B+,B-,WIN,0.0,0.0
2026-05-25,SEA @ OAK,[HARD CAP 5],A-,C,LOSS,-33.94,-3.394
2026-05-26,WSH @ CLE,[HARD CAP 1],B+,C,LOSS,-0.0,-0.0
2026-05-26,LAA @ DET,[HARD CAP 1],A-,C,LOSS,-0.0,-0.0
2026-05-26,ATL @ BOS,[HARD CAP 8],A-,C,WIN,7.0,0.7
2026-05-26,MIA @ TOR,[HARD CAP 7],A-,C,LOSS,-36.54,-3.654
2026-05-26,CIN @ NYM,[HARD CAP 1],A,C,WIN,1.13,0.113
2026-05-26,STL @ MIL,[HARD CAP 1],A-,B-,WIN,0.0,0.0
2026-05-26,HOU @ TEX,[HARD CAP 8],A-,C,LOSS,-32.29,-3.229
2026-05-28,MIN @ CHW,[HARD CAP 7],A,C,WIN,0.0,0.0
2026-05-28,ATL @ BOS,UNKNOWN,A-,C,LOSS,-129.19,-12.919
2026-05-28,TOR @ BAL,[HARD CAP 6],A,C,LOSS,-120.6,-12.06
2026-05-28,CHC @ PIT,[HARD CAP 7],A,B-,LOSS,-38.31,-3.831
2026-05-28,HOU @ TEX,[HARD CAP 1],A-,C,LOSS,-0.0,-0.0
2026-05-29,BOS @ CLE,[HARD CAP 7],A,C,WIN,0.0,0.0
2026-05-29,MIA @ NYM,UNKNOWN,B+,C,WIN,0.0,0.0
2026-05-29,NYY @ OAK,UNKNOWN,A,C,WIN,0.0,0.0
